"Fecha","Tipo","Jugador/Beneficiario","De (Vendedor)","A (Comprador)","Importe"
"04/12/2025","Traspaso","Trent","Pablinistan FC","LALIGA","18591989"
"04/12/2025","Traspaso","Antony","LALIGA","Alcatamy eSports By","109992312"
"04/12/2025","Traspaso","Febas","LALIGA","Visite La Manga FC","9609053"
"04/12/2025","Traspaso","Arda Güler","Alcatamy eSports By","LALIGA","132893541"
"04/12/2025","Traspaso","Aarón","Alcatamy eSports By","Vigar FC","30239952"
"04/12/2025","Traspaso","Courtois","Vigar FC","GOLENCIERRO FC","50000000"
"04/12/2025","Traspaso","Bartra","Morenazos FC","Pablinistan FC","30746750"
"04/12/2025","Traspaso","F. Calero","GOLENCIERRO FC","Pablinistan FC","1112770"
"04/12/2025","Traspaso","Ounahi","Pablinistan FC","LALIGA","7144160"
"04/12/2025","Blindaje","Comesaña","","","0"
"03/12/2025","Traspaso","Bryan Gil","LALIGA","Alcatamy eSports By","3378799"
"03/12/2025","Traspaso","Asencio","Alcatamy eSports By","LALIGA","5393057"
"02/12/2025","Blindaje","Ez Abde","","","0"
"02/12/2025","Blindaje","L. Milla","","","0"
"02/12/2025","Traspaso","Chavarría","GOLENCIERRO FC","Vigar FC","19056522"
"02/12/2025","Traspaso","A. Liso","GOLENCIERRO FC","LALIGA","6624895"
"02/12/2025","Traspaso","Álvaro Nuñez","Morenazos FC","GOLENCIERRO FC","16742884"
"02/12/2025","Blindaje","Edu Expósito","","","0"
"02/12/2025","Traspaso","Moi Gómez","LALIGA","GOLENCIERRO FC","2157923"
"02/12/2025","Traspaso","Rondón","LALIGA","GOLENCIERRO FC","610371"
"02/12/2025","Traspaso","M. Aguado","LALIGA","GOLENCIERRO FC","1370698"
"02/12/2025","Traspaso","Lejeune","Vigar FC","Pablinistan FC","31172679"
"02/12/2025","Traspaso","Lamine Yamal","GOLENCIERRO FC","Vigar FC","293944827"
"02/12/2025","Traspaso","Bellingham","Vigar FC","Pablinistan FC","192126634"
"02/12/2025","Traspaso","Ratiu","Pablinistan FC","Visite La Manga FC","29560224"
"02/12/2025","Traspaso","Vini Jr.","Pablinistan FC","Visite La Manga FC","234063387"
"02/12/2025","Traspaso","Mbappé","Visite La Manga FC","Alcatamy eSports By","264000000"
"02/12/2025","Traspaso","De Frutos","Alcatamy eSports By","LALIGA","49984702"
"02/12/2025","Traspaso","Héctor Fort","Pablinistan FC","LALIGA","1031472"
"02/12/2025","Recompensa","Morenazos FC","","","4000000"
"02/12/2025","Recompensa","Visite La Manga FC","","","9400000"
"02/12/2025","Recompensa","GOLENCIERRO FC","","","8400000"
"02/12/2025","Recompensa","Pablinistan FC","","","6000000"
"02/12/2025","Recompensa","Vigar FC","","","8900000"
"02/12/2025","Recompensa","Alcatamy eSports By","","","6900000"
"02/12/2025","Traspaso","Huijsen","Vigar FC","LALIGA","62632414"
"01/12/2025","Traspaso","Denis Suárez","LALIGA","Visite La Manga FC","631983"
"01/12/2025","Traspaso","Budimir","LALIGA","Visite La Manga FC","16437993"
"01/12/2025","Traspaso","Rashford","Alcatamy eSports By","LALIGA","96610862"
"30/11/2025","Traspaso","Ounahi","Visite La Manga FC","Pablinistan FC","14426357"
"30/11/2025","Traspaso","Aitor Fdez","GOLENCIERRO FC","LALIGA","589731"
"30/11/2025","Traspaso","B. Iglesias","LALIGA","Morenazos FC","18684944"
"30/11/2025","Traspaso","Cabrera","LALIGA","Visite La Manga FC","9451994"
"30/11/2025","Traspaso","Á. Valles","LALIGA","Pablinistan FC","3859409"
"30/11/2025","Traspaso","Renato Veiga","Vigar FC","LALIGA","23375171"
"30/11/2025","Traspaso","A. Moleiro","Alcatamy eSports By","Pablinistan FC","82561476"
